Adana; 15
BBP; 1.80; 0
YRP; 1.75; 0
ZP; 1.45; 0

Konya; 15
AKP; 48.83; 9
CHP; 16.72; 3
IYIP; 12.56; 2
MHP; 9.75; 1
YSP; 3.05; 0
BBP; 2.27; 0
YRP; 2.14; 0
MP; 1.98; 0
ZP; 1.85; 0
TIP; 0.84; 0

Kutahya; 5
AKP; 43.89; 3
CHP; 19.19; 1
IYIP; 15.32; 1
MHP; 10.70; 0
MP; 2.54; 0
BBP; 2.22; 0
ZP; 2.21; 0
YRP; 1.96; 0
TIP; 1.00; 0
YSP; 0.98; 0

Malatya; 6
AKP; 42.91; 4
CHP; 20.02; 1
MHP; 11.71; 1
IYIP; 9.62; 0
YSP; 6.96; 0
MP; 2.95; 0
BBP; 2.11; 0
YRP; 1.92; 0
ZP; 1.79; 0

Manisa; 10
CHP; 30.79; 4
AKP; 28.82; 3
IYIP; 18.24; 2
YSP; 7.37; 1
MHP; 5.34; 0
MP; 4.92; 0
BBP; 1.56; 0
ZP; 1.55; 0
YRP; 1.42; 0

Mardin; 6
YSP; 55.75; 4
AKP; 28.54; 2
CHP; 9.19; 0
MHP; 2.20; 0
IYIP; 1.35; 0
YRP; 1.08; 0
BBP; 1.00; 0
MP; 0.59; 0
ZP; 0.30; 0

Mersin; 13
CHP; 31.59; 5
AKP; 20.64; 3
IYIP; 17.69; 2
YSP; 12.79; 2
MHP; 5.92; 1
MP; 4.97; 0
TIP; 2.47; 0
ZP; 1.68; 0
BBP; 1.25; 0
YRP; 1.01; 0

Mugla; 7
CHP; 40.73; 4
IYIP; 20.91; 2
AKP; 17.75; 1
MP; 7.43; 0
YSP; 4.46; 0
TIP; 3.29; 0
MHP; 2.29; 0
ZP; 1.10; 0
BBP; 1.04; 0
YRP; 0.99; 0

Mus; 4
YSP; 50.82; 3
AKP; 27.83; 1
IYIP; 15.22; 0
MHP; 2.83; 0
YRP; 1.14; 0
BBP; 1.08; 0
MP; 0.58; 0
ZP; 0.50; 0

Nevsehir; 3
AKP; 41.67; 2
CHP; 21.09; 1
IYIP; 14.44; 0
MHP; 10.86; 0
MP; 3.12; 0
BBP; 2.15; 0
ZP; 2.10; 0
YRP; 1.88; 0
YSP; 1.37; 0
TIP; 1.31; 0

Nigde; 3
AKP; 33.09; 1
CHP; 25.21; 1
IYIP; 18.09; 1
MHP; 10.93; 0
MP; 3.83; 0
ZP; 2.47; 0
BBP; 1.95; 0
TIP; 1.59; 0
YRP; 1.56; 0
YSP; 1.29; 0

Ordu; 6
AKP; 36.67; 3
CHP; 25.45; 2
IYIP; 15.03; 1
MHP; 10.19; 0
MP; 4.12; 0
BBP; 1.98; 0
ZP; 1.98; 0
TIP; 1.78; 0
YRP; 1.73; 0
YSP; 1.05; 0

Osmaniye; 4
AKP; 28.68; 1
CHP; 21.20; 1
IYIP; 20.22; 1
MHP; 16.03; 1
ZP; 3.64; 0
YSP; 2.98; 0
MP; 2.79; 0
BBP; 2.05; 0
YRP; 1.29; 0
TIP; 1.12; 0

Rize; 3
AKP; 51.71; 2
CHP; 29.24; 1
MHP; 8.50; 0
MP; 2.38; 0
BBP; 2.31; 0
YRP; 2.29; 0
ZP; 1.44; 0
YSP; 1.12; 0
TIP; 1.02; 0

Sakarya; 7
AKP; 46.36; 4
CHP; 19.94; 2
IYIP; 13.55; 1
MHP; 8.28; 0
MP; 2.66; 0
BBP; 2.17; 0
YSP; 2.15; 0
YRP; 2.09; 0
ZP; 1.67; 0
TIP; 1.12; 0

Samsun; 9
AKP; 40.18; 5
