Adana; 15
SP; 0.84; 0
YSP; 6.40; 0
DEVA; 1.73; 0
GP; 1.24; 0
TIP; 1.30; 0
MP; 1.49; 0
ZP; 1.14; 0
BBP; 0.65; 0
YRP; 2.78; 0
DP; 0.06; 0
HUDAPAR; 0.31; 0

Manisa; 10
AKP; 28.22; 4
MHP; 5.61; 0
CHP; 30.56; 4
IYIP; 17.82; 2
SP; 0.58; 0
YSP; 6.30; 0
DEVA; 1.34; 0
GP; 0.93; 0
TIP; 1.95; 0
MP; 2.49; 0
ZP; 0.98; 0
BBP; 0.48; 0
YRP; 2.06; 0
DP; 0.13; 0
HUDAPAR; 0.26; 0

Mardin; 6
AKP; 25.91; 2
MHP; 2.32; 0
CHP; 4.54; 0
IYIP; 2.09; 0
SP; 0.61; 0
YSP; 56.45; 4
DEVA; 0.96; 0
GP; 0.84; 0
TIP; 1.57; 0
MP; 0.30; 0
ZP; 0.19; 0
BBP; 0.31; 0
YRP; 1.57; 0
DP; 0.01; 0
HUDAPAR; 2.01; 0

Mersin; 13
AKP; 19.72; 3
MHP; 6.23; 1
CHP; 30.55; 5
IYIP; 17.61; 2
SP; 0.48; 0
YSP; 15.32; 2
DEVA; 0.98; 0
GP; 0.70; 0
TIP; 2.20; 0
MP; 2.52; 0
ZP; 1.07; 0
BBP; 0.39; 0
YRP; 1.47; 0
DP; 0.13; 0
HUDAPAR; 0.39; 0

Mugla; 7
AKP; 20.19; 2
MHP; 2.40; 0
CHP; 40.30; 4
IYIP; 19.16; 1
SP; 0.42; 0
YSP; 5.90; 0
DEVA; 1.02; 0
GP; 0.66; 0
TIP; 2.93; 0
MP; 3.76; 0
ZP; 0.70; 0
BBP; 0.32; 0
YRP; 1.44; 0
DP; 0.17; 0
HUDAPAR; 0.21; 0

Mus; 4
AKP; 27.29; 1
MHP; 3.01; 0
CHP; 4.20; 0
IYIP; 5.35; 0
SP; 0.66; 0
YSP; 51.92; 3
DEVA; 1.01; 0
GP; 0.88; 0
TIP; 1.40; 0
MP; 0.30; 0
ZP; 0.32; 0
BBP; 0.34; 0
YRP; 1.67; 0
DP; 0.03; 0
HUDAPAR; 1.43; 0

Nevsehir; 3
AKP; 35.20; 2
MHP; 11.40; 0
CHP; 25.13; 1
IYIP; 15.08; 0
SP; 0.65; 0
YSP; 1.59; 0
DEVA; 1.71; 0
GP; 1.21; 0
TIP; 1.17; 0
MP; 1.58; 0
ZP; 1.33; 0
BBP; 0.66; 0
YRP; 2.72; 0
DP; 0.08; 0
HUDAPAR; 0.27; 0

Nigde; 3
AKP; 27.33; 1
MHP; 11.48; 0
CHP; 29.54; 1
IYIP; 18.59; 1
SP; 0.73; 0
YSP; 1.51; 0
DEVA; 1.43; 0
GP; 1.00; 0
TIP; 1.41; 0
MP; 1.94; 0
ZP; 1.57; 0
BBP; 0.60; 0
YRP; 2.26; 0
DP; 0.11; 0
HUDAPAR; 0.20; 0

Ordu; 6
AKP; 32.04; 2
MHP; 10.69; 1
CHP; 29.70; 2
IYIP; 14.21; 1
SP; 0.65; 0
YSP; 1.26; 0
DEVA; 1.59; 0
GP; 1.11; 0
TIP; 1.58; 0
MP; 2.08; 0
ZP; 1.26; 0
BBP; 0.61; 0
YRP; 2.50; 0
DP; 0.09; 0
HUDAPAR; 0.25; 0

Osmaniye; 4
AKP; 19.19; 1
MHP; 16.88; 1
CHP; 27.76; 1
IYIP; 22.26; 1
SP; 0.66; 0
YSP; 3.33; 0
DEVA; 1.17; 0
GP; 0.84; 0
TIP; 1.00; 0
MP; 1.41; 0
ZP; 2.32; 0
BBP; 0.63; 0
YRP; 1.87; 0
DP; 0.10; 0
HUDAPAR; 0.36; 0

Rize; 3
AKP; 47.14; 2
MHP; 9.03; 0
CHP; 19.70; 1
IYIP; 10.80; 0
SP; 0.91; 0
YSP; 1.31; 0
DEVA; 2.06; 0
GP; 1.48; 0
TIP; 0.92; 0
MP; 1.22; 0
ZP; 0.92; 0
BBP; 0.72; 0
YRP; 3.34; 0
DP; 0.06; 0
HUDAPAR; 0.10; 0

Sakarya; 7
AKP; 41.47; 4
MHP; 8.68; 0
CHP; 21.10; 2
IYIP; 14.52; 1
SP; 1.09; 0
YSP; 2.47; 0
DEVA; 1.85; 0
GP; 1.33; 0
TIP; 0.99; 0
MP; 1.34; 0
ZP; 1.06; 0
BBP; 0.67; 0
YRP; 3.02; 0
DP; 0.08; 0
HUDAPAR; 0.13; 0

Samsun; 9
AKP; 35.19; 4
MHP; 9.53; 1
CHP; 25.35; 3
IYIP; 16.67; 1
SP; 0.80; 0
YSP; 1.61; 0
DEVA; 1.67; 0
GP; 1.19; 0
TIP; 1.21; 0
MP; 1.67; 0
ZP; 1.25; 0
BBP; 0.64; 0
YRP; 2.68; 0
